,key,values,0
0,"['2015', 'ksu', '00', '2']","['100.0', '.', '.', '791575', '12.07', '793506', '...', '...']",
1,"['2015', 'ksu', '00', '1']","['100.0', '.', '.', '414291', '12.78', '415666', '13.80', '45379']",
2,"['2015', 'ksu', '00', '0']","['100.0', '.', '.', '377284', '10.97', '377840', '...', '...']",
3,"['2015', 'ksu', '01', '2']","['100.0', '.', '.', '250932', '15.13', '252021', '...', '...']",
4,"['2015', 'ksu', '01', '1']","['100.0', '.', '.', '172192', '16.38', '173079', '17.64', '15927']",
5,"['2015', 'ksu', '01', '0']","['100.0', '.', '.', '78740', '12.03', '78942', '...', '...']",
6,"['2015', 'ksu', '02', '2']","['100.0', '.', '.', '354235', '11.42', '354882', '...', '...']",
7,"['2015', 'ksu', '02', '1']","['100.0', '.', '.', '175484', '11.76', '175885', '13.38', '19811']",
8,"['2015', 'ksu', '02', '0']","['100.0', '.', '.', '178751', '10.89', '178997', '...', '...']",
9,"['2015', 'ksu', '03', '2']","['100.0', '.', '.', '186408', '10.97', '186603', '...', '...']",
10,"['2015', 'ksu', '03', '1']","['100.0', '.', '.', '66615', '11.27', '66702', '12.06', '9641']",
11,"['2015', 'ksu', '03', '0']","['100.0', '.', '.', '119793', '10.64', '119901', '...', '...']",
12,"['2015', 'pks', '00', '2']","['100.0', '.', '.', '242821', '14.86', '243272', '...', '...']",
13,"['2015', 'pks', '00', '1']","['100.0', '.', '.', '121993', '16.87', '122272', '18.80', '14993']",
14,"['2015', 'pks', '00', '0']","['100.0', '.', '.', '120828', '12.19', '121000', '...', '...']",
15,"['2015', 'pks', '01', '2']","['100.0', '.', '.', '67878', '20.13', '68168', '...', '...']",
16,"['2015', 'pks', '01', '1']","['100.0', '.', '.', '47530', '22.07', '47743', '23.79', '4981']",
17,"['2015', 'pks', '01', '0']","['100.0', '.', '.', '20348', '14.06', '20425', '...', '...']",
18,"['2015', 'pks', '02', '2']","['100.0', '.', '.', '99917', '14.32', '100021', '...', '...']",
19,"['2015', 'pks', '02', '1']","['100.0', '.', '.', '49504', '15.58', '49547', '18.36', '6425']",
20,"['2015', 'pks', '02', '0']","['100.0', '.', '.', '50413', '12.43', '50474', '...', '...']",
21,"['2015', 'pks', '03', '2']","['100.0', '.', '.', '75026', '12.85', '75083', '...', '...']",
22,"['2015', 'pks', '03', '1']","['100.0', '.', '.', '24959', '14.40', '24982', '16.03', '3587']",
23,"['2015', 'pks', '03', '0']","['100.0', '.', '.', '50067', '11.61', '50101', '...', '...']",
24,"['2015', 'msu', '00', '2']","['100.0', '.', '.', '548754', '10.91', '550234', '...', '...']",
25,"['2015', 'msu', '00', '1']","['100.0', '.', '.', '292298', '11.22', '293394', '11.80', '30386']",
26,"['2015', 'msu', '00', '0']","['100.0', '.', '.', '256456', '10.39', '256840', '...', '...']",
27,"['2015', 'msu', '01', '2']","['100.0', '.', '.', '183054', '13.33', '183853', '...', '...']",
28,"['2015', 'msu', '01', '1']","['100.0', '.', '.', '124662', '14.15', '125336', '14.77', '10946']",
29,"['2015', 'msu', '01', '0']","['100.0', '.', '.', '58392', '11.44', '58517', '...', '...']",
30,"['2015', 'msu', '02', '2']","['100.0', '.', '.', '254318', '10.40', '254861', '...', '...']",
31,"['2015', 'msu', '02', '1']","['100.0', '.', '.', '125980', '10.45', '126338', '11.53', '13386']",
32,"['2015', 'msu', '02', '0']","['100.0', '.', '.', '128338', '10.32', '128523', '...', '...']",
33,"['2015', 'msu', '03', '2']","['100.0', '.', '.', '111382', '9.90', '111520', '...', '...']",
34,"['2015', 'msu', '03', '1']","['100.0', '.', '.', '41656', '9.87', '41720', '10.47', '6054']",
35,"['2015', 'msu', '03', '0']","['100.0', '.', '.', '69726', '9.94', '69800', '...', '...']",
36,"['2015', 'A01', '00', '2']","['100.0', '.', '.', '291272', '14.29', '291850', '...', '...']",
37,"['2015', 'A01', '00', '1']","['100.0', '.', '.', '145004', '15.94', '145365', '17.61', '17461']",
38,"['2015', 'A01', '00', '0']","['100.0', '.', '.', '146268', '12.04', '146485', '...', '...']",
39,"['2015', 'A01', '01', '2']","['100.0', '.', '.', '81021', '19.10', '81387', '...', '...']",
40,"['2015', 'A01', '01', '1']","['100.0', '.', '.', '55709', '20.89', '55981', '22.65', '5722']",
41,"['2015', 'A01', '01', '0']","['100.0', '.', '.', '25312', '13.74', '25406', '...', '...']",
42,"['2015', 'A01', '02', '2']","['100.0', '.', '.', '123253', '13.72', '123402', '...', '...']",
43,"['2015', 'A01', '02', '1']","['100.0', '.', '.', '60086', '14.71', '60149', '17.22', '7555']",
44,"['2015', 'A01', '02', '0']","['100.0', '.', '.', '63167', '12.22', '63253', '...', '...']",
45,"['2015', 'A01', '03', '2']","['100.0', '.', '.', '86998', '12.55', '87061', '...', '...']",
46,"['2015', 'A01', '03', '1']","['100.0', '.', '.', '29209', '13.74', '29235', '15.04', '4184']",
47,"['2015', 'A01', '03', '0']","['100.0', '.', '.', '57789', '11.51', '57826', '...', '...']",
48,"['2015', '091', '00', '2']","['100.0', '.', '.', '149955', '15.33', '150319', '...', '...']",
49,"['2015', '091', '00', '1']","['100.0', '.', '.', '74050', '17.73', '74276', '20.36', '8217']",
50,"['2015', '091', '00', '0']","['100.0', '.', '.', '75905', '12.06', '76043', '...', '...']",
51,"['2015', '091', '01', '2']","['100.0', '.', '.', '48194', '20.92', '48446', '...', '...']",
52,"['2015', '091', '01', '1']","['100.0', '.', '.', '34702', '22.97', '34891', '25.02', '3470']",
53,"['2015', '091', '01', '0']","['100.0', '.', '.', '13492', '13.97', '13555', '...', '...']",
54,"['2015', '091', '02', '2']","['100.0', '.', '.', '59021', '14.49', '59101', '...', '...']",
55,"['2015', '091', '02', '1']","['100.0', '.', '.', '27355', '15.97', '27383', '19.41', '3181']",
56,"['2015', '091', '02', '0']","['100.0', '.', '.', '31666', '12.24', '31718', '...', '...']",
57,"['2015', '091', '03', '2']","['100.0', '.', '.', '42740', '12.88', '42772', '...', '...']",
58,"['2015', '091', '03', '1']","['100.0', '.', '.', '11993', '14.78', '12002', '17.19', '1566']",
59,"['2015', '091', '03', '0']","['100.0', '.', '.', '30747', '11.45', '30770', '...', '...']",
60,"['2015', '091-1', '00', '2']","['100.0', '.', '.', '13042', '18.10', '13093', '...', '...']",
61,"['2015', '091-1', '00', '1']","['100.0', '.', '.', '11287', '18.69', '11332', '23.20', '1216']",
62,"['2015', '091-1', '00', '0']","['100.0', '.', '.', '1755', '14.55', '1761', '...', '...']",
63,"['2015', '091-1', '01', '2']","['100.0', '.', '.', '6881', '23.13', '6923', '...', '...']",
64,"['2015', '091-1', '01', '1']","['100.0', '.', '.', '6386', '23.65', '6428', '26.60', '675']",
65,"['2015', '091-1', '01', '0']","['100.0', '.', '.', '495', '17.72', '495', '...', '...']",
66,"['2015', '091-1', '02', '2']","['100.0', '.', '.', '4432', '16.24', '4438', '...', '...']",
67,"['2015', '091-1', '02', '1']","['100.0', '.', '.', '3765', '16.69', '3765', '22.11', '415']",
68,"['2015', '091-1', '02', '0']","['100.0', '.', '.', '667', '13.48', '673', '...', '...']",
69,"['2015', '091-1', '03', '2']","['100.0', '.', '.', '1729', '15.36', '1732', '...', '...']",
70,"['2015', '091-1', '03', '1']","['100.0', '.', '.', '1136', '15.68', '1139', '20.65', '126']",
71,"['2015', '091-1', '03', '0']","['100.0', '.', '.', '593', '14.08', '593', '...', '...']",
72,"['2015', '091-2', '00', '2']","['100.0', '.', '.', '47256', '16.80', '47433', '...', '...']",
73,"['2015', '091-2', '00', '1']","['100.0', '.', '.', '32623', '18.39', '32756', '21.22', '3518']",
74,"['2015', '091-2', '00', '0']","['100.0', '.', '.', '14633', '12.69', '14677', '...', '...']",
75,"['2015', '091-2', '01', '2']","['100.0', '.', '.', '21640', '21.76', '21783', '...', '...']",
76,"['2015', '091-2', '01', '1']","['100.0', '.', '.', '17703', '23.40', '17817', '25.14', '1676']",
77,"['2015', '091-2', '01', '0']","['100.0', '.', '.', '3937', '14.23', '3966', '...', '...']",
78,"['2015', '091-2', '02', '2']","['100.0', '.', '.', '17702', '15.12', '17729', '...', '...']",
79,"['2015', '091-2', '02', '1']","['100.0', '.', '.', '11536', '15.97', '11553', '19.98', '1382']",
80,"['2015', '091-2', '02', '0']","['100.0', '.', '.', '6166', '12.63', '6176', '...', '...']",
81,"['2015', '091-2', '03', '2']","['100.0', '.', '.', '7914', '13.60', '7921', '...', '...']",
82,"['2015', '091-2', '03', '1']","['100.0', '.', '.', '3384', '14.84', '3386', '17.75', '460']",
83,"['2015', '091-2', '03', '0']","['100.0', '.', '.', '4530', '12.00', '4535', '...', '...']",
84,"['2015', '091-3', '00', '2']","['100.0', '.', '.', '20717', '14.88', '20751', '...', '...']",
85,"['2015', '091-3', '00', '1']","['100.0', '.', '.', '8150', '17.43', '8168', '20.40', '1029']",
86,"['2015', '091-3', '00', '0']","['100.0', '.', '.', '12567', '12.32', '12583', '...', '...']",
87,"['2015', '091-3', '01', '2']","['100.0', '.', '.', '6197', '20.82', '6219', '...', '...']",
88,"['2015', '091-3', '01', '1']","['100.0', '.', '.', '3539', '23.95', '3555', '26.12', '432']",
89,"['2015', '091-3', '01', '0']","['100.0', '.', '.', '2658', '14.24', '2664', '...', '...']",
90,"['2015', '091-3', '02', '2']","['100.0', '.', '.', '8507', '14.20', '8513', '...', '...']",
91,"['2015', '091-3', '02', '1']","['100.0', '.', '.', '3229', '15.75', '3231', '18.82', '362']",
92,"['2015', '091-3', '02', '0']","['100.0', '.', '.', '5278', '12.47', '5282', '...', '...']",
93,"['2015', '091-3', '03', '2']","['100.0', '.', '.', '6013', '12.82', '6019', '...', '...']",
94,"['2015', '091-3', '03', '1']","['100.0', '.', '.', '1382', '14.53', '1382', '17.43', '235']",
95,"['2015', '091-3', '03', '0']","['100.0', '.', '.', '4631', '11.73', '4637', '...', '...']",
96,"['2015', '091-4', '00', '2']","['100.0', '.', '.', '68940', '13.23', '69042', '...', '...']",
97,"['2015', '091-4', '00', '1']","['100.0', '.', '.', '21990', '16.02', '22020', '17.11', '2454']",
98,"['2015', '091-4', '00', '0']","['100.0', '.', '.', '46950', '11.53', '47022', '...', '...']",
99,"['2015', '091-4', '01', '2']","['100.0', '.', '.', '13476', '17.28', '13521', '...', '...']",
100,"['2015', '091-4', '01', '1']","['100.0', '.', '.', '7074', '20.26', '7091', '21.57', '687']",
