,years,region,subsidy,value
0,2015,wholecontry,nonSubsidised,16.38
1,2016,wholecontry,nonSubsidised,16.92
2,2017,wholecontry,nonSubsidised,17.64
3,2018,wholecontry,nonSubsidised,18.02
4,2019,wholecontry,nonSubsidised,18.54
5,2020,wholecontry,nonSubsidised,18.97
6,2021,wholecontry,nonSubsidised,19.23
7,2015,wholecontry,subsidised,12.03
8,2016,wholecontry,subsidised,12.29
9,2017,wholecontry,subsidised,12.66
10,2018,wholecontry,subsidised,12.85
11,2019,wholecontry,subsidised,13.0
12,2020,wholecontry,subsidised,13.12
13,2021,wholecontry,subsidised,13.28
0,2015,Kuopio,nonSubsidised,15.93
1,2016,Kuopio,nonSubsidised,16.19
2,2017,Kuopio,nonSubsidised,16.79
3,2018,Kuopio,nonSubsidised,17.11
4,2019,Kuopio,nonSubsidised,17.51
5,2020,Kuopio,nonSubsidised,17.88
6,2021,Kuopio,nonSubsidised,18.18
7,2015,Kuopio,subsidised,11.88
8,2016,Kuopio,subsidised,12.28
9,2017,Kuopio,subsidised,12.49
10,2018,Kuopio,subsidised,12.76
11,2019,Kuopio,subsidised,13.04
12,2020,Kuopio,subsidised,13.22
13,2021,Kuopio,subsidised,13.38
0,2015,Jyväskylä,nonSubsidised,15.71
1,2016,Jyväskylä,nonSubsidised,16.05
2,2017,Jyväskylä,nonSubsidised,16.63
3,2018,Jyväskylä,nonSubsidised,16.92
4,2019,Jyväskylä,nonSubsidised,17.48
5,2020,Jyväskylä,nonSubsidised,18.29
6,2021,Jyväskylä,nonSubsidised,18.34
7,2015,Jyväskylä,subsidised,12.14
8,2016,Jyväskylä,subsidised,12.34
9,2017,Jyväskylä,subsidised,12.6
10,2018,Jyväskylä,subsidised,12.83
11,2019,Jyväskylä,subsidised,13.03
12,2020,Jyväskylä,subsidised,13.18
13,2021,Jyväskylä,subsidised,13.32
