"","vuosi_","maakunta","omaluok","N","tulkotielaintuotto","tulkasvituotto","tulpuutarhatuotto","tulmuutulo","tultuet","tulliikevaihto","tulvarastomuutos","tulluovutukset","tultilatuotto","tulinvestointituki","tulmuutuotto","tulkokonaistuotto_vara","tultarvikkeet","tultilakaytto","tulelaintenosto","tulostopalvelut","tulpalkat","tulkonevuokra","tulmuumuuttuva","tulpalkkavaatimus","tulvuokrat","tulvakuutuksetyht","tulkoneymskpito","tulmuukiintea","tulkayttokate","tulrakepoisto","tulkonepoisto","tulmuupoisto","tulliiketulos","tulnettorahoituskulut","tulnettotulos","tuloponkorko","tulyrittajanvoitto_vara","eyelain","otos"
"1",17,-1,1,2011351,45138.1140651,20863.2157065,13949.9246752,1756.92880251,48108.6053557,129816.788605,-1758.56070026,159.506542677,10320.6666656,764.949168748,2745.63446063,142048.984742,-39555.0736644,-10320.6666656,-5250.81916151,-8801.16413479,-5779.09042404,-387.24162096,-5236.36458317,-26673.8179143,-5399.21046933,-7519.0840723,-8933.61260631,-5697.23369461,12495.6057312,-6793.13137218,-13293.3042725,-1413.69461157,-9004.52452509,-2475.13189283,-11479.6564179,-16064.0197366,-27543.6761546,22.3523677121,440
"2",17,-1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",17,1,1,253183,19618.8509774,26975.9898539,16415.7819206,1088.92757531,47051.6643697,111151.214697,387.548260586,230.277874936,7002.7542102,377.934299736,2413.68884909,121563.418191,-33444.4935875,-7002.7542102,-415.597678162,-5176.7354147,-6134.03588246,-207.747528033,-3999.9968548,-21657.5589218,-6364.58350359,-7399.36205575,-9727.84839195,-6218.99306336,13813.7110991,-5304.79671285,-13694.9597853,-1444.72954337,-6630.77494235,-2107.789959,-8738.56490136,-17530.7023225,-26269.2672239,8.69412997713,69
"4",17,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",17,2,1,445390,35842.4533333,29639.4536403,24268.5664779,1650.22492986,42528.541877,133929.240258,-2588.1470868,104.100538315,5381.98673558,663.020180583,4209.53476286,141699.735389,-48162.7277607,-5381.98673558,-8352.37177278,-7955.55097319,-5448.84763623,-516.398150003,-6478.76195072,-23113.807693,-5546.58739368,-6733.72483873,-9360.07928815,-5667.82416662,8981.06702943,-7188.18583965,-13868.0373657,-1606.01944869,-13681.1756246,-2559.84574232,-16241.0213669,-20849.9719656,-37090.9933326,24.5685543007,82
"6",17,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",17,4,1,232498,45447.7721791,29559.422148,14652.1326248,2124.93625197,47438.8342459,139223.09745,1909.83469041,96.8369214789,6242.53481514,585.195480606,2571.70533987,150629.204697,-43176.5940846,-6242.53481514,-9039.85143958,-10618.4465339,-6267.96710294,-467.664735008,-5085.28237761,-26981.2841741,-10679.8387029,-7575.1073072,-8050.13715146,-4381.24156896,12063.2547038,-6265.04370059,-12720.6992183,-873.006336958,-7795.49455204,-2771.78485239,-10567.2794044,-12728.6854325,-23295.9648369,27.5228324545,60
"8",17,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",17,5,1,140700,18495.9193959,17954.1021891,2478.46229566,1742.26166311,33474.4356361,74145.1811798,-943.325813788,69.8709168443,4101.89948827,592.943859275,817.241464108,78783.8110945,-21971.0429282,-4101.89948827,-98.4824307036,-3756.63380242,-1641.36023454,-94.0585927505,-2136.35965885,-21866.6566453,-1457.642914,-6896.58316276,-2907.87614783,-4126.60764748,7728.60744136,-3893.84246624,-6493.73353945,-1053.21246624,-3712.18103056,-2791.56021322,-6503.74124378,-15520.1636034,-22023.9048472,8.18361762615,13
"10",17,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",17,6,1,253796,58005.8182054,16062.8397922,10304.6036975,1683.63136239,53453.5322529,139510.42531,382.388754157,375.996674613,11126.2133863,1320.62045095,2762.7628383,155478.407415,-37784.476146,-11126.2133863,-7456.82788736,-10497.2678949,-5405.68620794,-456.961139577,-6868.19661646,-28822.2398284,-5288.93931902,-8004.20503365,-8727.09124442,-5564.97105932,19475.3316512,-9026.32487372,-15602.9996773,-1625.23654738,-6779.22944712,-3180.86431276,-9960.09375987,-15194.9031089,-25154.9968688,24.9631442182,47
"12",17,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",17,7,1,102900,37511.1879373,31023.8187901,4409.23253644,1832.32676385,54586.1726603,129362.738688,-10355.7908309,70.1035276968,11022.7804956,716.457959184,1443.51229592,132259.802136,-34835.8422595,-11022.7804956,-2499.20074344,-7872.02416181,-2436.45460641,-24.9240524781,-3665.04605685,-27121.3169096,-4385.1390379,-7763.4748688,-13606.6412609,-5316.22777697,11710.7299052,-7301.91404519,-16907.1025656,-1909.42239067,-14407.7090962,-1795.34142857,-16203.0505248,-20302.8683382,-36505.918863,16.465787172,18
"14",17,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",17,8,1,123400,21309.7098055,18911.2755673,10436.9661183,2069.65294773,41807.7631544,94535.3675932,-1336.57416734,29.7147487844,8930.11793152,806.397414911,1829.0751641,104794.098685,-28106.0427998,-8930.11793152,-239.223257699,-6823.75063006,-3346.0148278,-182.891004862,-3787.3879842,-22697.5148298,-3882.80333671,-7507.8732577,-5864.19153363,-6035.91355348,7390.37373784,-5770.37840154,-10409.6143193,-814.238559562,-9603.85754254,-1308.83181118,-10912.6893537,-12383.4643517,-23296.1537054,7.70559157212,14
"16",17,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,9,1,78698,49004.7491067,10542.0430181,0,1115.67124552,47275.6067277,107938.070098,-3695.4299357,78.7410150194,12091.4043742,631.823083179,3247.4126636,120292.021298,-29323.0993819,-12091.4043742,-5886.8083687,-5856.55309461,-3243.8951765,-95.7950087677,-3269.82237719,-25727.8354291,-3429.76300795,-7690.28086559,-7674.70942108,-4726.12037231,11275.9344204,-5183.05533508,-12773.3750853,-1340.7626974,-8021.2586973,-1207.82062543,-9229.07932273,-12840.2498719,-22069.3291946,20.9048184198,36
"18",17,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",17,10,1,118198,73572.0162355,5440.50802391,20382.4896601,2818.56557234,59486.8923108,161700.471803,-1110.76286621,129.080052285,21087.7721241,1455.03304159,3401.85176602,186663.44592,-45433.1154586,-21087.7721241,-2916.62163488,-11779.6850207,-9229.98053639,-450.892959272,-5920.16896969,-39045.0497792,-4379.95517175,-7526.71869981,-11377.1918934,-6302.49169318,21213.8019795,-9883.66503765,-14630.0821211,-1051.81868314,-4351.76386242,-2697.33978215,-7049.10364456,-12886.4050131,-19935.5086577,33.6236590298,24
"20",17,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",17,11,1,262588,87303.5479328,5553.34232596,9793.44704252,1872.66293639,57411.30706,161934.307298,-4715.24647094,213.452115596,23061.9706932,754.039926425,2248.62643898,183497.150001,-46423.8636461,-23061.9706932,-6219.3683508,-14019.8300487,-9801.85690066,-656.446911512,-6117.02746237,-34183.9329406,-3920.5110772,-8636.43107739,-10543.6236781,-7387.39190032,12524.8953141,-6793.3989728,-13342.2987883,-1797.178632,-9407.98107895,-2665.58798589,-12073.5690648,-13081.7739201,-25155.3429849,36.8031366247,77
"22",17,11,5,1,110.66,37592.7,67.66,2602.15,50531.18,90904.35,-2262.34,191.45,1531.93,180.6,5041.72,95587.72,-29247.42,-1531.93,-35.71,-4214.23,-1843.02,-341.29,-2297.64,-16403.57,-8080.58,-6874.76,-8044.36,-4905.9,11640.58,-3493.53,-16320.2,-2195.03,-10368.17,-2325.54,-12693.71,-19278.59,-31972.31,0.17,-2
"23",18,-1,1,1967719,46238.3075506,21029.6251459,14813.1260846,2655.8298389,47162.4967807,131899.385401,588.315963316,117.983517601,10038.7944164,804.080103424,3048.11468434,146496.674086,-41895.4808466,-10038.7944164,-4970.42788511,-8323.60039164,-6851.25984419,-562.338291377,-5518.47313987,-27156.9871739,-5557.26497394,-7714.67497666,-8927.8463927,-5972.24625308,13007.2795003,-7350.82050626,-13740.8459161,-1478.0085912,-9562.39551325,-3113.18842273,-12675.583936,-15454.9075234,-28130.4914593,25.296894643,443
"24",18,-1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",18,1,1,247781,16189.3292101,29650.6251901,19690.5296057,1883.71897248,45652.5937212,113066.7967,-1412.19279029,283.640135765,6544.19431486,379.490797236,2733.78621779,121595.715375,-32142.2942652,-6544.19431486,-414.261606419,-5521.10449881,-6194.09437733,-193.834706212,-5198.59692047,-22499.9215339,-6854.25442483,-8088.37364172,-9352.79635832,-6312.39607504,12279.5926517,-4889.15719845,-13580.3882015,-1385.52775257,-7575.48050076,-2098.47847628,-9673.95897704,-16102.1332382,-25776.0922153,7.7698327959,69
"26",18,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",18,2,1,432186,66968.2447165,28567.5208697,25166.6171708,2887.24332595,48741.4171873,172331.04327,-615.910962387,32.9722409102,4950.80401665,491.582716955,4310.0348338,181500.526116,-63210.3440382,-4950.80401665,-7563.96846265,-9888.93961419,-10232.4093656,-733.733818217,-7056.67479539,-24883.5764018,-6128.48005854,-6995.64306893,-9271.58919058,-6514.91022432,24069.4530611,-10625.3984594,-14731.1042062,-1657.779552,-2944.82915643,-5457.89558503,-8402.72474145,-19908.2473115,-28310.972053,40.4294759664,94
"28",18,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",18,4,1,225892,38364.8275348,28524.5597143,13931.5859526,2040.64734023,43224.9837606,126086.604303,2696.73274773,141.080033821,6851.82701769,705.157497078,5220.02926,141701.430859,-45118.3899407,-6851.82701769,-6088.48671489,-6409.53898682,-6684.83762373,-843.010024259,-5524.61840047,-26029.7405875,-9123.89197825,-7998.22983461,-9004.20066567,-4993.62742496,7031.03165929,-6413.24461238,-13551.9387634,-934.186877225,-13868.3385938,-2751.75339308,-16620.0919868,-14063.0113607,-30683.1033476,28.9651798204,50
